"StockKeyLabel","StockKeyDescription","SpeciesScientificName","SpeciesCommonName","FisheriesGuild.y","DataCategory","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","Ecoregion","StockSize","SBL","D3C1","D3C2","GES"
"agn.27.nea","Angel shark in subareas 1-10, 12 and 14","Squatina squatina","Angel shark","Elasmobranch","6.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"agn.27.nea","Angel shark in subareas 1-10, 12 and 14","Squatina squatina","Angel shark","Elasmobranch","6.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"alf.27.nea","Alfonsinos in subareas 1-10, 12 and 14","Beryx","Alfonsinos","Demersal","5.2",2020,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"alf.27.nea","Alfonsinos in subareas 1-10, 12 and 14","Beryx","Alfonsinos","Demersal","5.2",2020,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"ane.27.8","Anchovy in Subarea 8","Engraulis encrasicolus","Anchovy","Pelagic","1",2020,"MP","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"ane.27.8","Anchovy in Subarea 8","Engraulis encrasicolus","Anchovy","Pelagic","1",2020,"MP","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"ane.27.9a","Anchovy in Division 9.a","Engraulis encrasicolus","Anchovy","Pelagic","3",2021,"PA","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion","GREY","GREY","GREY","GREY","GREY"
"ane.27.9a","Anchovy in Division 9.a","Engraulis encrasicolus","Anchovy","Pelagic","3",2021,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"ank.27.78abd","Black-bellied anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius budegassa","Black-bellied anglerfish","Benthic","3.2",2021,"PA","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"ank.27.78abd","Black-bellied anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius budegassa","Black-bellied anglerfish","Benthic","3.2",2021,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"ank.27.8c9a","Black-bellied anglerfish in divisions 8.c and 9.a","Lophius budegassa","Black-bellied anglerfish","Benthic","2.11",2020,"MSY","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"ank.27.8c9a","Black-bellied anglerfish in divisions 8.c and 9.a","Lophius budegassa","Black-bellied anglerfish","Benthic","2.11",2020,"MSY","Precautionary approach","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"aru.27.6b7-1012","Greater silver smelt in subareas 7-10 and 12, and Division 6.b","Argentina silus","Greater silver smelt","Pelagic","3.2",2021,"PA","Maximum sustainable yield","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"aru.27.6b7-1012","Greater silver smelt in subareas 7-10 and 12, and Division 6.b","Argentina silus","Greater silver smelt","Pelagic","3.2",2021,"PA","Precautionary approach","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"bli.27.nea","Blue ling in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a","Molva dypterygia","Blue ling","Demersal","5.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","RED","GREY","GREY","RED","RED"
"bli.27.nea","Blue ling in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a","Molva dypterygia","Blue ling","Demersal","5.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","RED","GREY","GREY","RED","RED"
"boc.27.6-8","Boarfish in subareas 6-8 ","Capros aper","Boarfish","Pelagic","3.2",2021,"PA","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"boc.27.6-8","Boarfish in subareas 6-8 ","Capros aper","Boarfish","Pelagic","3.2",2021,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"bsf.27.nea","Black scabbardfish in subareas 1, 2, 4-8, 10, and 14, and divisions 3.a, 9.a, and 12.b ","Aphanopus carbo","Black scabbardfish","Pelagic","3.2",2020,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"bsf.27.nea","Black scabbardfish in subareas 1, 2, 4-8, 10, and 14, and divisions 3.a, 9.a, and 12.b ","Aphanopus carbo","Black scabbardfish","Pelagic","3.2",2020,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"bsk.27.nea","Basking shark in Subareas 1-10, 12 and 14","Cetorhinus maximus","Basking shark","Elasmobranch","6.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"bsk.27.nea","Basking shark in Subareas 1-10, 12 and 14","Cetorhinus maximus","Basking shark","Elasmobranch","6.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"bss.27.8ab","Seabass in divisions 8.a-b","Dicentrarchus labrax","Seabass","Demersal","1",2021,"MP","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"bss.27.8ab","Seabass in divisions 8.a-b","Dicentrarchus labrax","Seabass","Demersal","1",2021,"MP","Precautionary approach","GREEN","Bay of Biscay and the Iberian Coast Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"bss.27.8c9a","Seabass in divisions 8.c and 9.a","Dicentrarchus labrax","Seabass","Demersal","5.2",2021,"PA","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion","GREY","GREY","GREY","GREY","GREY"
"bss.27.8c9a","Seabass in divisions 8.c and 9.a","Dicentrarchus labrax","Seabass","Demersal","5.2",2021,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion","GREY","GREY","GREY","GREY","GREY"
"cyo.27.nea","Portuguese dogfish in subareas 1-10, 12 and 14","Centrophorus squamosus, Centroscymnus coelolepis","Portuguese dogfish","Elasmobranch","6.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"cyo.27.nea","Portuguese dogfish in subareas 1-10, 12 and 14","Centrophorus squamosus, Centroscymnus coelolepis","Portuguese dogfish","Elasmobranch","6.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"dgs.27.nea","Spurdog in Subareas 1-10, 12 and 14","Squalus acanthias","Spurdog","Elasmobranch","1.2",2020,"MSY/PA","Maximum sustainable yield","GREEN","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","RED","GREY","GREEN","RED","RED"
"dgs.27.nea","Spurdog in Subareas 1-10, 12 and 14","Squalus acanthias","Spurdog","Elasmobranch","1.2",2020,"MSY/PA","Precautionary approach","GREEN","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"ele.2737.nea","European eel throughout its natural range","Anguilla anguilla","Eel","Demersal","3.14",2020,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Baltic Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","RED","GREY","GREY","RED","RED"
"ele.2737.nea","European eel throughout its natural range","Anguilla anguilla","Eel","Demersal","3.14",2020,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Baltic Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","RED","GREY","GREY","RED","RED"
"gag.27.nea","Tope in subareas 1-10, 12 and 14","Galeorhinus galeus","Tope","Elasmobranch","5.2",2021,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"gag.27.nea","Tope in subareas 1-10, 12 and 14","Galeorhinus galeus","Tope","Elasmobranch","5.2",2021,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"gfb.27.nea","Greater forkbeard in subareas 1-10, 12 and 14","Phycis blennoides","Greater forkbeard","Demersal","3.2",2020,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"gfb.27.nea","Greater forkbeard in subareas 1-10, 12 and 14","Phycis blennoides","Greater forkbeard","Demersal","3.2",2020,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"guq.27.nea","Leafscale gulper shark in subareas 1-10, 12 and 14","Centrophorus squamosus","Leafscale gulper shark","Elasmobranch","6.3",2019,"PA","Maximum sustainable yield","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"guq.27.nea","Leafscale gulper shark in subareas 1-10, 12 and 14","Centrophorus squamosus","Leafscale gulper shark","Elasmobranch","6.3",2019,"PA","Precautionary approach","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"gur.27.3-8","Red gurnard in subareas 3-8","Chelidonichthys cuculus","Red gurnard","Demersal","3",2021,"PA","Maximum sustainable yield","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"gur.27.3-8","Red gurnard in subareas 3-8","Chelidonichthys cuculus","Red gurnard","Demersal","3",2021,"PA","Precautionary approach","GREY","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
